,varname,Locator Type,locname,Wall Layer,pipename,Pipe Number,out_unit,Description,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output
131,MDTHYD,BRANCH,FP_ANN_W01,,,,(C),Maximum difference between hydrate and section temp since last write,85.78623,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443,84.81443
132,MDTPOS,BRANCH,FP_ANN_W01,,,,(M),Distance where section and hydrate temperature differs most since last write,92.92546,92.81199,92.77151,92.75601,92.74723,92.74168,92.73859,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774,92.73774
133,DPBR,BRANCH,FP_ANN_W01,,,,(PA),Total pressure drop,-25.41266,-13.20074,-17.37585,-17.4871,-17.45585,-17.18277,-16.82265,-16.50256,-16.28625,-16.14605,-16.04121,-16.01573,-16.0122,-16.00485,-15.99959,-15.99698,-15.99583,-15.99552,-15.99555,-15.99569,-15.99577,-15.99586,-15.99597,-15.99605,-15.99609,-15.99615,-15.9962,-15.99626,-15.9963,-15.99635,-15.99639,-15.99642,-15.99646,-15.99649,-15.99651,-15.99653,-15.99655,-15.99657,-15.9966,-15.99661,-15.99662,-15.99664,-15.99666,-15.99667,-15.99668,-15.99669,-15.9967,-15.99671,-15.99672,-15.99673,-15.99674,-15.99675,-15.99675,-15.99675,-15.9967,-15.99667,-15.99667,-15.9967,-15.99672,-15.99673,-15.99674,-15.99678,-15.9968,-15.99682,-15.99683,-15.99684,-15.99684,-15.99685,-15.99685,-15.99685,-15.99686,-15.99687,-15.99687,-15.99688,-15.99688,-15.99688,-15.99688,-15.9969,-15.9969,-15.9969,-15.9969,-15.9969,-15.99691,-15.99691,-15.99691,-15.99691,-15.99692,-15.99692,-15.99692,-15.99692,-15.99692,-15.99693,-15.99693,-15.99694,-15.99694,-15.99694,-15.99694,-15.99695,-15.99694,-15.99695,-15.99696,-15.99696,-15.99696,-15.99696,-15.99696,-15.99697,-15.99697,-15.99697,-15.99697,-15.99697,-15.99697,-15.99698,-15.99698,-15.99699,-15.99698,-15.99698,-15.99699,-15.99699,-15.99699,-15.99699,-15.99699,-15.997,-15.99699,-15.99699,-15.997,-15.997,-15.997,-15.997,-15.997,-15.99701,-15.997,-15.997,-15.99701,-15.99702,-15.99701,-15.99701,-15.99701,-15.99702,-15.99702,-15.99702,-15.99701,-15.99702,-15.99703,-15.99702,-15.99701
134,DPGBR,BRANCH,FP_ANN_W01,,,,(PA),Gravitational pressure drop,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
135,LIQC,BRANCH,FP_ANN_W01,,,,(M3),Total liquid content in branch,2029986.0,-14534830.0,-14477890.0,-14141630.0,-13890030.0,-13740900.0,-13670980.0,-13647410.0,-13641470.0,-13645160.0,-13652640.0,-13655510.0,-13655850.0,-13655980.0,-13656140.0,-13656310.0,-13656480.0,-13656640.0,-13656760.0,-13656860.0,-13656930.0,-13656990.0,-13657030.0,-13657060.0,-13657100.0,-13657130.0,-13657150.0,-13657180.0,-13657200.0,-13657220.0,-13657240.0,-13657260.0,-13657280.0,-13657290.0,-13657310.0,-13657320.0,-13657330.0,-13657350.0,-13657350.0,-13657370.0,-13657370.0,-13657380.0,-13657390.0,-13657400.0,-13657410.0,-13657410.0,-13657420.0,-13657420.0,-13657430.0,-13657440.0,-13657440.0,-13657440.0,-13657830.0,-13657470.0,-13657470.0,-13657480.0,-13657480.0,-13657480.0,-13657480.0,-13657480.0,-13657490.0,-13657490.0,-13657490.0,-13657490.0,-13657490.0,-13657500.0,-13657500.0,-13657500.0,-13657500.0,-13657500.0,-13657500.0,-13657500.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657520.0,-13657520.0,-13657510.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657510.0,-13657520.0,-13657520.0,-13657520.0,-13657520.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657510.0,-13657500.0,-13657510.0,-13657500.0,-13657500.0,-13657500.0,-13657500.0
136,WATC,BRANCH,FP_ANN_W01,,,,(M3),Total water content in branch,-4467273.0,-3541523.0,-3552126.0,-3585826.0,-3600151.0,-3609166.0,-3614360.0,-3616983.0,-3618509.0,-3619358.0,-3619834.0,-3620427.0,-3621034.0,-3621553.0,-3621998.0,-3622654.0,-3622989.0,-3623379.0,-3623744.0,-3624078.0,-3624362.0,-3624642.0,-3624899.0,-3625139.0,-3625366.0,-3625578.0,-3625776.0,-3625961.0,-3626135.0,-3626299.0,-3626454.0,-3626600.0,-3626739.0,-3626870.0,-3626995.0,-3627113.0,-3627226.0,-3627334.0,-3627437.0,-3627535.0,-3627630.0,-3627720.0,-3627806.0,-3627889.0,-3627969.0,-3628045.0,-3628119.0,-3628190.0,-3628258.0,-3628324.0,-3628388.0,-3628450.0,-3628596.0,-3628792.0,-3628854.0,-3628901.0,-3628946.0,-3628990.0,-3629033.0,-3629075.0,-3629115.0,-3629154.0,-3629192.0,-3629229.0,-3629265.0,-3629300.0,-3629334.0,-3629367.0,-3629399.0,-3629431.0,-3629461.0,-3629491.0,-3629520.0,-3629549.0,-3629577.0,-3629604.0,-3629630.0,-3629656.0,-3629682.0,-3629707.0,-3629731.0,-3629754.0,-3629778.0,-3629800.0,-3629823.0,-3629844.0,-3629866.0,-3629887.0,-3629907.0,-3629927.0,-3629947.0,-3629966.0,-3629985.0,-3630003.0,-3630022.0,-3630039.0,-3630057.0,-3630074.0,-3630091.0,-3630108.0,-3630124.0,-3630140.0,-3630156.0,-3630171.0,-3630186.0,-3630201.0,-3630216.0,-3630230.0,-3630244.0,-3630258.0,-3630272.0,-3630285.0,-3630299.0,-3630312.0,-3630324.0,-3630337.0,-3630349.0,-3630362.0,-3630374.0,-3630386.0,-3630397.0,-3630409.0,-3630420.0,-3630431.0,-3630442.0,-3630453.0,-3630464.0,-3630474.0,-3630485.0,-3630495.0,-3630505.0,-3630515.0,-3630525.0,-3630535.0,-3630544.0,-3630554.0,-3630563.0,-3630572.0,-3630581.0,-3630590.0,-3630599.0,-3630607.0,-3630616.0,-3630624.0,-3630633.0
273,MDTHYD,BRANCH,FP_TUB_W01,,,,(C),Maximum difference between hydrate and section temp since last write,90.95956,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467,85.96467
274,MDTPOS,BRANCH,FP_TUB_W01,,,,(M),Distance where section and hydrate temperature differs most since last write,88.63431,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498,76.33498
278,DPBR,BRANCH,FP_TUB_W01,,,,(PA),Total pressure drop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,DPGBR,BRANCH,FP_TUB_W01,,,,(PA),Gravitational pressure drop,72.05053,62.11427,52.54814,42.52847,35.63806,31.27102,28.9942,28.04259,27.72864,27.61549,27.63619,27.64434,27.62185,27.60998,27.60424,27.60054,27.60275,27.59875,27.59815,27.59829,27.59673,27.59698,27.59703,27.59669,27.59658,27.59681,27.59676,27.5966,27.59625,27.59628,27.59637,27.59643,27.59587,27.59653,27.59627,27.5964,27.59612,27.59666,27.59641,27.59674,27.59606,27.59619,27.59663,27.59633,27.59623,27.59669,27.59672,27.59643,27.59628,27.59645,27.59669,27.59667,27.56874,27.59578,27.59664,27.59625,27.59633,27.59664,27.59635,27.59629,27.59621,27.59601,27.59611,27.59629,27.5959,27.59632,27.59639,27.59634,27.59593,27.59634,27.59633,27.59646,27.59595,27.59596,27.596,27.59636,27.59568,27.59615,27.59636,27.59607,27.59563,27.59601,27.59617,27.59629,27.59607,27.5962,27.59612,27.59591,27.59555,27.59596,27.59633,27.59617,27.5959,27.59617,27.5961,27.59601,27.5957,27.59631,27.59636,27.59635,27.59596,27.59619,27.59642,27.59632,27.59609,27.59641,27.596,27.59617,27.59588,27.59643,27.59622,27.59642,27.59565,27.59618,27.59608,27.59604,27.59585,27.5963,27.59627,27.5962,27.59574,27.59643,27.5964,27.5964,27.59582,27.59618,27.5962,27.59637,27.59579,27.59618,27.59607,27.59609,27.59556,27.59595,27.59611,27.59591,27.59559,27.59596,27.59621,27.59602,27.5959,27.59629,27.59636,27.59597,27.59561
